id,title,source,link
AVO,Alaska Volcano Observatory,https://www.avo.alaska.edu/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=AVO
ABFIRE,Alberta Wildfire,https://wildfire.alberta.ca/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=ABFIRE
AU_BOM,Australia Bureau of Meteorology,http://www.bom.gov.au/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=AU_BOM
BYU_ICE,Brigham Young University Antarctic Iceberg Tracking Database,http://www.scp.byu.edu/data/iceberg/database1.html,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=BYU_ICE
BCWILDFIRE,British Columbia Wildfire Service,http://bcwildfire.ca/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=BCWILDFIRE
CALFIRE,California Department of Forestry and Fire Protection,http://www.calfire.ca.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=CALFIRE
CEMS,Copernicus Emergency Management Service,http://emergency.copernicus.eu/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=CEMS
EO,Earth Observatory,https://earthobservatory.nasa.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=EO
Earthdata,Earthdata,https://earthdata.nasa.gov,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=Earthdata
FEMA,Federal Emergency Management Agency (FEMA),https://www.fema.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=FEMA
FloodList,FloodList,http://floodlist.com/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=FloodList
GDACS,Global Disaster Alert and Coordination System,http://www.gdacs.org/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=GDACS
GLIDE,GLobal IDEntifier Number (GLIDE),http://www.glidenumber.net/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=GLIDE
InciWeb,InciWeb,https://inciweb.nwcg.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=InciWeb
IRWIN,Integrated Reporting of Wildfire Information (IRWIN) Observer,https://irwin.doi.gov/observer/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=IRWIN
IDC,International Charter on Space and Major Disasters,https://www.disasterscharter.org/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=IDC
JTWC,Joint Typhoon Warning Center,http://www.metoc.navy.mil/jtwc/jtwc.html,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=JTWC
MRR,LANCE Rapid Response,https://lance.modaps.eosdis.nasa.gov/cgi-bin/imagery/gallery.cgi,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=MRR
MBFIRE,Manitoba Wildfire Program,http://www.gov.mb.ca/sd/fire/Fire-Maps/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=MBFIRE
NASA_ESRS,NASA Earth Science and Remote Sensing Unit,https://eol.jsc.nasa.gov/ESRS/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=NASA_ESRS
NASA_DISP,NASA Earth Science Disasters Program,https://disasters.nasa.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=NASA_DISP
NASA_HURR,NASA Hurricane And Typhoon Updates,https://blogs.nasa.gov/hurricanes/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=NASA_HURR
NOAA_NHC,National Hurricane Center,https://www.nhc.noaa.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=NOAA_NHC
NOAA_CPC,NOAA Center for Weather and Climate Prediction,http://www.cpc.ncep.noaa.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=NOAA_CPC
PDC,Pacific Disaster Center,http://www.pdc.org/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=PDC
ReliefWeb,ReliefWeb,http://reliefweb.int/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=ReliefWeb
SIVolcano,Smithsonian Institution Global Volcanism Program,http://www.volcano.si.edu/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=SIVolcano
NATICE,U.S. National Ice Center,http://www.natice.noaa.gov/Main_Products.htm,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=NATICE
UNISYS,Unisys Weather,http://weather.unisys.com/hurricane/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=UNISYS
USGS_EHP,USGS Earthquake Hazards Program,https://earthquake.usgs.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=USGS_EHP
USGS_CMT,USGS Emergency Operations Collection Management Tool,https://cmt.usgs.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=USGS_CMT
HDDS,USGS Hazards Data Distribution System,https://hddsexplorer.usgs.gov/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=HDDS
DFES_WA,Western Australia Department of Fire and Emergency Services,https://www.dfes.wa.gov.au/,https://eonet.gsfc.nasa.gov/api/v2.1/events?source=DFES_WA
